subject,verb,object
27 membro de ue,aprovar,diretriz
27 mil,sinalizar manifestar,interesse
27 mil escola,ainda precisar alcançar,índice
27 mil pessoa,ainda não realizar,cadastro
27 país membro,não compr,único barril de petróleo de irã.
27 tribunal de justiça em brasil,gastar,r$ 900 milhões
270 mil pessoa,fazer,teste de personalidade
270 mil usuário,dar,consentimento
270 parlamentar,hoje apoiar,projeto
273 atirador como paddock,deixar,rastro de desolação
28,entretanto assinar,tco
28 %,porém incluir ter,ação afirmativo para negro
28 chancelere de ue,emitir,comunicado conjunto sobre ataque
"28,8 milhões de contribuinte",entregar,declaração 340 mil mais de registrado em ano passado
280 curso,ter sofrer,série de restrição como proibição de aumento de número de vaga
28º batalhão de polícia militar,aproveitar,período de folia
29 %,declarar ter,emprego assalariado com sem registro em carteira
29 bairro,ser haver,vacinação de casa em casa
29 cidade brasileiro em 21 estado,ter,manifestação
29 de hc’,não ter ’,decisão
29 ganhador,receber,troféu jabuti
29 mil família,fraudar,declaração de renda
297 mil,além ter,renda subdeclarado entre meio um salário mínimo
2° sargento bm reformado pedro nelson de silva lobato,era construir,família com três filho
2º dia de enem,ter,matemática com cara de vestibular
2º levantamento rápido de índice de infestação por aede aegypti,registrar,situação de alerta
2º vice presidente de câmara deputado andré fufuca pp-ma,assumir,presidência de casa
3,cumprir,pena de prisão..
3,não ter,anotação criminal
3 % de mulher,ter,tipo de investimento financeiro
3 20 luedji luno,interpretar,músicas de primeiro disco corpo em mundo 2017
3 corpo,ter,perfuração o bala em cabeça
3 criança,onde morrer pedir,melhoria
3 fase de operação,prender,ex diretor presidente global de companhia
3 homem armado com van,realizar,ataque
3 mil família,deixar,casa
3 mil servidor de prefeitura de divinópolis,não receber,13º salário
3 milhões de pessoa,consumir frequentemente,substância
3 promotoria de justiça de três coração,denunciar,ex prefeito
3 turma de trf-1,confirmar,decisão individual de ney bello
3 vara federal em foz de iguaçu,aceitar,denúncia de ministério público federal mpf contra vereador dr
3 vara federal em foz de iguaçu em oeste de paraná,aceitar,denúncia de ministério público federal mpf contra vereador dr
"3,2 milhões de cotista com r$ 5,6 bilhões disponível",ter,direito a recurso de fundo de cotista
"3,5 bilhões de pessoa equivalente a 70 % de adulto em mundo",possuir,us$ 10 mil
"3,5 mil campuseiro",montar,acampamento
"3,5 mil pessoa",aderir não obrigar,vítima
"3,6 % 1 milhão",pagar,"multa de r$ 3,51"
"3,6 mil ribeirinhos de estado",receber,indenização mensal
3. vara federal de maranhão,condenar,estado
3.000 deputado chinês,aplaudir calorosamente,reforma
3.142 pessoa,aguardar,julgamento
3.221 aposta,acertar,quadra
3.228 servidor,só receber,"r$ 1,5 mil"
3.294 família,fraudar,programa bolsa família
3.445,fazer,caminho inverso
3.643 bebê prematuro,receber,leite materno de doador
3.o ministério público federal,foi fazer,observação feito
3/3 doleiro suspeito de ligação com cabral,conceder,habeas corpus
3/5 invasão de plenário,presenciar,estupro de namorada
30,não fazer,audiência
30,precisar realizar,procedimento com anestesia geral
30 %,apontar,corrupção
30 %,quando apoiar,cota social
30 %,ter,aumento superior
30 % de cidade de brasil,ter,plano municipal de saneamento
30 % de eleitor,ainda não realizar,recadastramento biométrico equivalente a 50 mil pessoa
30 % de população,quando apresentar,sintoma
30 estado,permitir,uso medicinal
30 homem de batalhão de guarda presidencial,fazer,bloqueio
30 mil metalúrgico,paralisar,atividade
30 milhões deles,ter,informação suficiente explorar com fim político
30 morte,não fazer,cócega
30 parque entre municipal,fechar,porta
30 pessoa,fechar,trevo de resistência
30 pessoa,já fazer,doação
30 policial federal,cumprir,dez ordem judicial
30 policial militar,fazer,segurança de local
30 unidade de corporação,atender,pessoa
30 índio armado com facão,tentar recuperar,duas moto
30 índio guarani armado com facão,recuperar,moto
"30,4 % de cidade brasileiro",ter,plano municipal de saneamento básico
300 agente,patrulhar,rodovia federal de estado presidente dutro
300 desabrigados,buscar,refúgio
300 família,montar,barraca de lona
300 família,morar ser não ter,tela de proteção
300 família,ocupar,terreno baldio
300 família venezuelano,atualmente receber,benefício equivalente a 1 % de 24 mil beneficiário de programa em bom vista
300 funcionário,deixar,posto
300 mil pessoa,atualmente seguem acompanhar ter,3 mil membro
300 painel,debater,assunto relacionado a recurso hídrico
300 pessoa,acompanhar,protesto
300 pessoa,ficar,fila
300 pessoa,formalizar,negócio
300 pessoa,formalizar,tipo de negócio
300 unidade,receber através,60 tipo de produto adquirir de agricultura familiar
3008 griffe pack,além trazer,item como quadro de instrumento digital
309.157,ter,nota zero
31 % de membro de tribo,ter,risco desenvolver
31 cidade,não ter,carnaval
31 escola público brasileiro,conseguir manter,excelência de ensino
31 escola público com aluno de baixo renda,manter,excelência
31 mil pessoa,ter,tipo de câncer
"31,2 %",alegar,falta de interesse em serviço
31-3389-2721 clínica de nutrição clínica integrado de atenção a saúde,oferecer,serviço de atendimento nutricional
310 pessoa,receber,vacina
311 de cpp,escrever,moro
311 de código de processo penal,dizer,trecho de decisão
313,apoiar,emenda de abuso de autoridade
32,ainda aguardar,sentença
32,virar,processo..
32 %,perder cancelar,plano
32 agente de tropa federal,reforçar principalmente,faixa de fronteira entre dois país
32 de 141 município,ter,eleição
32 município de estado,decretar,situação de emergência
32 unidade básico de saúde ubss,também não ter,expediente
33 vítima,representar,terço de total de ativista morto em mundo
33.387 autoridade,possuir atualmente,prerrogativa de foro especial
34 %,já terceirizam,produção
34 % de aluno brasileiro de 3º ano,apresentar,proficiência insuficiente em escrita
34 cadeia em 7 estado de país,ter,motim
34 de vítima de breivik em utoya,ter ter ter ter,25 ano
34 edição de maior são joão de mundo 2017 em campina grande,terminar fechar,programação junino
34 milhões de brasileiro,não possuir,acesso a água potável
34 morador,adquirir,doença
"34,9 mil",ter,renda de um um salário mínimo
340 mil pessoa,usar regularmente,crack
342 de 513 deputado,dar,aval
342 deputado,registrar,presença
346 mil família,falsificar,informação sobre renda
346 mil família,informar,renda falso
35 %,ter,desempenho insuficiente
35 agente,inspecionar,casa de região de bonsucesso
35 associado de entidade,manter,lancha
35 cidade,ter,serviço
35 deputado,responder,advogado de gerage
35 espaço,receber,programação de 40 mostra internacional de cinema
35 litro de cachaça artesanal,condenar,ex prefeito de tarauacá
35 mil,ocupar,esplanada
35 município,ter,serviço
35 réu,ter,penas
35 índio isolado entre mulher,deixar,base xinane
350,ter ter,2
350 de 7 mil pessoa,apoiar,aprovação de projeto
350 família,deixar,casa
350 integrantes de movimento,invadir ocupar,propriedade
350 integrantes de movimento,invadir ocupar conseguir,liminar
358,fazer,atividade de manutenção de próprio presídio
36 pessoa,usar,dispositivo
365 interno de instituição,tomar,tamiflu medicamento
37 % de paulistano,ter,queda em renda
37 cidade,concentrar,50 % de banda largo fixo de brasil
37 cidade conectado de país,ter,"13,3 milhões de 26,6 milhões de acesso a banda largo fixo"
37 cidade superconectado,abrigar,28 % de população brasileiro
37 magistrado,ter,rendimento líquido
37 paciente,aguardar,procedimento
37 vara de trabalho de mesmo cidade,determinar exatamente,oposto
"37,3 %",possuir,problema de saúde
370 mil niteroiense,ter,decisão tomar neste domingo 29 dia de consulta público sobre uso de arma de fogo por guarda municipal
38,comprovar arquivar estar já apresentar ainda não encaminhar,documento
38 %,afirmar ter,potencial de produção entre 10.001 a 50.000 litro
"38,6 % de assassinato",gerar,denúncia criminal
3º pelotão especial de fronteira de exército brasileiro,intensificar,fiscalização
4,não haver,espaço para recebimento de valores como 700 mil real
4,possuir,unidade de polícia pacificador upps cidade de deus
4 %,já enviar receber,imagem
4 %,nenhum/não ter,total
4 aposta,ganhar,prêmio para 6 acerto sena
4 edição de evento,ter,show de anavitória
4 fábrica de brf,fraudar,laudo de salmonela
4 fábrica de brf,fraudar,laudo sobre presença de bactéria salmonela em alimento
4 mil devoto,cruzar,dutra
4 mil homem 3.400 militar de força armado,fazer,operação
4 mil paciente,hoje fazer,tratamento com asparaginase bacteriano
4 rodada,prever,exploração de bloco sob regime
4 sticks,apresentar,sucesso de rock clássico
4 vara criminal de justiça estadual,declinar,competência em três processo para justiça federal
4 vítima,registrar,queixa
4 vítima,ter não ter,anotação criminal
"4,1 % 12",possuir,qualidade de água bom
"4,5 mil pessoa",atualmente receber,auxílio
"4,7 milhões de usuário equivalente a 8,5 % de população americano",compr,cannabi
"4,9 % de criança",onde apresentar,nível alto de elemento em sangue
4.000 civil,deixar,grande cidade rebelde de de uma
4.043 aposta,acertar,quadra
4.530 aposta,acertar,quadra
4.862 apostador,levar,"r$ 10,5 mil"
4/1 cavalo,estar revelar,queixa de mulher
4/4 globo,suspender,josé mayer
4/5 integrante de quadrilha de assalto a banco,receber,assembleia constituinte
4/5 integrante de quadrilha de assalto a banco,receber,bolsa família família
40,já ter ainda aguardar,sentença
40 % de motorista,dizer feito,zigue zague
40 % de nomeado,desistir pedir,exoneração
40 % de paciente,melhorar,pontuação de memória
40 % de pessoa,desenvolver,herpe simples recorrente
40 % de população carcerário de tocantim,ter,24 ano
40 membro de sede local de ku klux klan,também acender,tocha
40 mil migrante africano,deixar,país
40 pessoa,perder,vida
40 propostas,ter,objetivo aumentar
400,apresentar,problema respiratório
400 bombeiro,tentar deter,chama
400 espécie diferente,compor,acervo de empresário..
400 homem,fazer,proteção de local
400 integrantes de mtst,ocupar,local
400 mil processo em país,aguardar,tese definir por stj
400 pessoa,ter,acesso a novo linha
400 pessoa com faixa,distribuir,panfleto com informação sobre projeto
402 de cpp,não haver,razão para deferimento de suspensão de interrogatório de paciente
41 %,manter comprar,ovo de páscoa..
41 %,ter,políticas para pessoa com deficiência
41 % de consumidor,pretender manter comprar,ovo
41 % de resíduo,ter,destinação inadequado
41 mil contribuinte,já declarar,imposto de renda
41 pessoa,além ter,bem bloqueado
41 suplente,assumir,cargo
41 suplente de senador,assumir,mandato
"41,3 mil contribuinte",já declarar,imposto de renda
410 mil pessoa,doar,sangue
412,cumprir,pena
42 %,apoiar,cota racial
42 %,avaliar,governo
42 % de população,ter,quilo mais
42 % de senador,não revelar,posição
42 bilionário,concentrar,mesmo quantidade de dinheiro de metade pobre de população global
42 fase de operação lava jato,prender,dois irmão empresário
42 pessoa,usar,tornozeleira
"42,3 %",não ter,ator
43,receber,pagamento
43,tomar,trem
43 % de entrevistado,escolher,mc donalds
43 milhões de brasileiro de são paulo,votar,geraldo alckmin
"43,9 % 142 pessoa",ter,60 ano
44 quilômetro de extensão de rio,receber,trabalho de limpeza
440 milímetro,eram chover,282 milímetro
45 % de aluno,ter,nível suficiente de conhecimento
45 % de pessoa,ter,problema de sono..
45 cidade,registrar,índice superior a 10 morte a 100 mil habitante
450 imigrante,atualmente cruzar,fronteira de estado
450 mil pessoa,ter,contato com elas
46 % de americano,aprovar,política fiscal de presidente
461,registrar,superávit
47,ter,relação com universidade
47 cidade,ter,paralisação em sistema de abastecimento
48 % de americano,apoiar,ordem executivo
48 % de entrevistado,dizer não possuir,preferência
48 % de população em idade aposentar,não receber,aposentadoria
48 fase,apurar,corrupção
48 fase de lava jato,apurar,crime como corrupção
48 fase de lava jato,ter,principal servidor público
48 fase de operação lava jato,tentar mostrar,real causa de pagar em pedágio de paraná
48 país,confirmar,caso de vírus
488,terminar,ano
489 pedido de liberdade,não ter,razão analisar por corte
49,apresentar,condição bom
4º abrigo para imigrante venezuelano em capital,ter,capacidade inicial para 200 pessoa
5,ter,inquérito concluído 18 % de caso
5,ter,punição administrativo
5 %,ter,ar condicionado
"5 6,7 milhões de candidato",fazer,primeiro fase de prova
5 ano,sair,estimar sr.
5 de 25 vara de trabalho em maranhão,ter,atividade
5 deles estado unido,ocupar,assento permanente
5 laboratório,fraudar,resultado de exame em amostra de processo industrial
5 maior bilionário de país,concentrar,mesmo riqueza que metade de população
5 mil soldado,fazer,segurança local
5 milhões de contribuinte,também terminar tirar,dúvida
5 mostra internacional de teatro de são paulo,apresentar,nove espetáculo inédito
5 turma,já negar,pedido de liberdade
5 turma,também conceder,liberdade provisório
5 turma de superior tribunal de justiça,analisar,pedido de defesa evitar
5 turma de tribunal regional federal de 3 região trf3,conceder,liberdade provisório
5 vara cível de comarca de sorocaba sp,condenar,seis jovem
"5,3 mil km",separar,cidade de manau am
"5,8 % de inscrito em pis",não sacar,dinheiro
5.500 militar de duas brigada,patrulhar,região
